iter	Passed	Remaining
0	120	48126
1	189	37679
2	227	30159
3	261	25924
4	303	23938
5	339	22262
6	386	21719
7	433	21256
8	497	21615
9	534	20853
10	569	20131
11	604	19545
12	651	19398
13	695	19175
14	736	18908
15	781	18763
16	823	18548
17	868	18441
18	910	18257
19	951	18087
20	1002	18091
21	1054	18112
22	1099	18022
23	1142	17906
24	1185	17775
25	1222	17580
26	1258	17381
27	1296	17224
28	1335	17085
29	1371	16914
30	1408	16765
31	1441	16581
32	1479	16451
33	1516	16321
34	1556	16228
35	1592	16105
36	1625	15943
37	1673	15943
38	1772	16407
39	1814	16334
40	1853	16227
41	1894	16150
42	1932	16047
43	1963	15889
44	1994	15734
45	2025	15584
46	2057	15453
47	2089	15324
48	2121	15197
49	2156	15098
50	2199	15051
51	2242	15009
52	2283	14947
53	2331	14941
54	2370	14868
55	2408	14797
56	2438	14675
57	2470	14568
58	2501	14456
59	2532	14348
60	2563	14247
61	2594	14145
62	2625	14044
63	2659	13963
64	2691	13873
65	2723	13784
66	2760	13721
67	2789	13618
68	2819	13524
69	2849	13431
70	2879	13341
71	2908	13251
72	2938	13163
73	2968	13077
74	2998	12992
75	3027	12908
76	3058	12829
77	3089	12752
78	3119	12674
79	3148	12595
80	3178	12518
81	3209	12445
82	3239	12370
83	3268	12297
84	3299	12226
85	3328	12154
86	3358	12084
87	3388	12014
88	3418	11945
89	3448	11877
90	3478	11810
91	3508	11745
92	3538	11679
93	3569	11619
94	3599	11556
95	3629	11493
96	3659	11430
97	3689	11369
98	3719	11308
99	3749	11247
100	3779	11187
101	3809	11128
102	3839	11070
103	3869	11012
104	3898	10953
105	3928	10896
106	3958	10840
107	3988	10784
108	4018	10728
109	4049	10676
110	4079	10622
111	4109	10568
112	4139	10513
113	4169	10459
114	4199	10406
115	4229	10354
116	4259	10302
117	4289	10250
118	4319	10199
119	4349	10147
120	4378	10096
121	4408	10045
122	4438	9995
123	4468	9945
124	4498	9896
125	4527	9846
126	4558	9799
127	4588	9751
128	4618	9702
129	4648	9654
130	4678	9606
131	4708	9559
132	4747	9530
133	4788	9505
134	4818	9459
135	4849	9412
136	4878	9365
137	4908	9319
138	4938	9273
139	4968	9226
140	4998	9180
141	5027	9135
142	5058	9091
143	5088	9047
144	5118	9002
145	5148	8957
146	5178	8912
147	5209	8870
148	5239	8826
149	5269	8782
150	5299	8738
151	5329	8695
152	5359	8652
153	5389	8609
154	5419	8566
155	5449	8523
156	5479	8480
157	5510	8439
158	5541	8399
159	5571	8357
160	5601	8315
161	5631	8273
162	5661	8231
163	5691	8189
164	5721	8148
165	5751	8107
166	5780	8065
167	5810	8024
168	5841	7983
169	5870	7942
170	5900	7901
171	5930	7861
172	5960	7820
173	5990	7780
174	6019	7739
175	6050	7700
176	6080	7660
177	6110	7620
178	6140	7581
179	6170	7542
180	6201	7504
181	6233	7466
182	6264	7428
183	6295	7389
184	6324	7350
185	6354	7311
186	6384	7272
187	6414	7232
188	6444	7194
189	6474	7156
190	6504	7117
191	6535	7080
192	6565	7042
193	6595	7003
194	6625	6965
195	6655	6926
196	6684	6888
197	6714	6850
198	6744	6812
199	6774	6774
200	6804	6736
201	6833	6698
202	6864	6661
203	6893	6623
204	6923	6585
205	6953	6548
206	6983	6511
207	7013	6473
208	7044	6437
209	7074	6400
210	7103	6363
211	7133	6326
212	7163	6289
213	7194	6253
214	7224	6216
215	7254	6179
216	7283	6142
217	7313	6105
218	7343	6069
219	7372	6032
220	7402	5995
221	7432	5959
222	7462	5922
223	7491	5886
224	7522	5850
225	7552	5814
226	7582	5778
227	7612	5742
228	7642	5706
229	7672	5670
230	7702	5635
231	7732	5599
232	7762	5563
233	7791	5527
234	7821	5491
235	7851	5456
236	7881	5420
237	7911	5384
238	7941	5349
239	7971	5314
240	8000	5278
241	8031	5243
242	8061	5208
243	8091	5173
244	8121	5137
245	8151	5102
246	8181	5067
247	8211	5032
248	8241	4997
249	8270	4962
250	8300	4927
251	8330	4892
252	8360	4857
253	8389	4822
254	8419	4787
255	8449	4752
256	8479	4717
257	8509	4683
258	8540	4649
259	8571	4615
260	8600	4580
261	8630	4545
262	8660	4511
263	8690	4476
264	8720	4442
265	8749	4407
266	8780	4373
267	8810	4339
268	8839	4304
269	8869	4270
270	8899	4236
271	8929	4201
272	8959	4167
273	8989	4133
274	9019	4099
275	9049	4065
276	9080	4031
277	9109	3997
278	9139	3963
279	9169	3929
280	9200	3896
281	9229	3862
282	9259	3828
283	9288	3794
284	9318	3760
285	9348	3726
286	9378	3692
287	9407	3658
288	9437	3624
289	9467	3591
290	9497	3557
291	9528	3524
292	9558	3490
293	9587	3456
294	9617	3423
295	9647	3389
296	9677	3356
297	9707	3322
298	9737	3289
299	9766	3255
300	9796	3222
301	9826	3188
302	9856	3155
303	9885	3121
304	9916	3088
305	9945	3055
306	9975	3021
307	10005	2988
308	10036	2955
309	10066	2922
310	10126	2897
311	10157	2864
312	10187	2831
313	10217	2798
314	10247	2765
315	10277	2731
316	10307	2698
317	10336	2665
318	10366	2632
319	10396	2599
320	10426	2566
321	10456	2532
322	10486	2499
323	10516	2466
324	10546	2433
325	10576	2400
326	10606	2367
327	10636	2334
328	10665	2301
329	10695	2268
330	10725	2235
331	10757	2203
332	10790	2171
333	10825	2139
334	10864	2108
335	10900	2076
336	10934	2044
337	10969	2012
338	11004	1980
339	11039	1948
340	11073	1915
341	11109	1884
342	11146	1852
343	11190	1821
344	11231	1790
345	11268	1758
346	11308	1727
347	11343	1695
348	11376	1662
349	11412	1630
350	11444	1597
351	11477	1565
352	11511	1532
353	11544	1500
354	11576	1467
355	11614	1435
356	11650	1403
357	11685	1370
358	11720	1338
359	11759	1306
360	11795	1274
361	11828	1241
362	11864	1209
363	11900	1176
364	11933	1144
365	11968	1111
366	12006	1079
